九州豚骨ちゃんぽん頃場,293,-105,587,-209,1173,-418,2346,-837,4693,-1673,9386,-3346,35.734481388889,139.880787777778,http://togetter.com/li/185882,5
北海豚骨麺屋銀鈴,293,-104,587,-208,1173,-417,2346,-834,4693,-1668,9385,-3336,35.789405555556,139.760109722222,http://togetter.com/li/185882,5
豚骨ラーメン　じゃぐら,293,-104,586,-209,1172,-417,2343,-835,4686,-1670,9372,-3339,35.70054595,139.64758422,http://togetter.com/li/185882,5
太陽のトマト麺,293,-105,586,-209,1172,-419,2345,-837,4689,-1674,9379,-3347,35.69557255,139.81032471,http://togetter.com/li/185882,5
太陽のトマト麺護国寺支店,293,-104,586,-209,1172,-418,2344,-835,4688,-1671,9377,-3341,35.718526666667,139.728184722222,http://togetter.com/li/185882,5
太陽のトマト麺大塚北口店,293,-104,586,-209,1172,-418,2345,-835,4689,-1670,9378,-3340,35.733613888889,139.726678888889,http://togetter.com/li/185882,5
太陽のトマト麺四谷二丁目店,293,-104,586,-209,1172,-418,2343,-836,4687,-1672,9374,-3344,35.687555000000,139.724155833333,http://togetter.com/li/185882,5
はやし家,293,-104,586,-209,1172,-418,2344,-835,4687,-1671,9374,-3342,35.699908611111,139.696546666667,http://togetter.com/li/185882,5
七志とんこつ編渋谷道玄坂店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658880000000,139.698089722222,http://togetter.com/li/185882,5
幸楽苑道玄坂店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658463333333,139.696715000000,http://togetter.com/li/185882,5
ティーヌンタイ国ラーメン渋谷道玄坂店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658013333333,139.699328611111,http://togetter.com/li/185882,5
中央軒道玄坂,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.656968888889,139.695176111111,http://togetter.com/li/185882,5
赤のれん麺徳,293,-105,586,-209,1172,-418,2344,-836,4688,-1672,9376,-3344,35.698487777778,139.750053055556,http://togetter.com/li/185882,5
赤のれん,293,-105,586,-209,1172,-418,2344,-837,4688,-1673,9375,-3347,35.681095555556,139.763630555556,http://togetter.com/li/185882,5
